序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300344,立方数科,6.58,20.07,1.1,819575.0,521424684.18,16.61,6.58,5.67,5.7,5.48,5.01,12.82,-55.58,9.0,4222428217.0,4206010953.0,0.0,0.0,15.85,53.38
2,300313,*ST天山,6.89,20.03,1.15,58324.0,39622526.0,8.54,6.89,6.4,6.78,5.74,2.73,3.17,-82.07,30.32,2156414258.0,1269285977.0,0.0,0.0,39.47,11.85
3,300339,润和软件,27.71,20.01,4.62,2342217.0,6184150282.29,20.61,27.71,22.95,23.08,23.09,3.34,30.28,138.5,6.71,22068544404.0,21433283676.0,0.0,0.0,17.47,49.22
4,301205,联特科技,98.64,20.0,16.44,80033.0,741167093.85,19.17,98.64,82.88,83.2,82.2,1.03,11.78,218.19,8.98,12797948160.0,6703404739.0,0.0,0.0,-43.1,371.06
5,300351,永贵电器,19.38,20.0,3.23,469473.0,909072197.64,2.66,19.38,18.95,19.38,16.15,3.26,18.18,54.04,3.23,7467343789.0,5003751309.0,0.0,0.0,22.35,25.27
6,300826,测绘股份,21.61,19.99,3.6,188891.0,382284531.61,19.04,21.61,18.18,18.63,18.01,1.72,13.59,130.89,2.96,3147171831.0,3004204437.0,0.0,0.0,39.24,95.57
7,300097,智云股份,10.69,19.98,1.78,805797.0,834672521.09,20.09,10.69,8.9,9.0,8.91,1.92,29.84,10.29,4.68,3084595962.0,2886502554.0,0.0,0.0,64.71,102.85
8,688800,瑞可达,46.9,17.34,6.93,78266.0,346316253.0,19.39,47.89,40.14,40.14,39.97,6.37,7.34,55.72,3.89,7429892044.0,4999027524.0,0.0,-0.04,-20.02,-38.15
9,300735,光弘科技,23.58,16.73,3.38,1785826.0,4060278244.59,14.8,24.23,21.24,21.24,20.2,1.54,23.64,72.39,3.97,18159881770.0,17815283344.0,-0.08,-0.51,116.33,171.66
10,300444,双杰电气,8.75,14.83,1.13,1954753.0,1655252083.26,13.91,8.99,7.93,8.09,7.62,5.8,33.0,58.1,5.69,6987969538.0,5182632814.0,-0.11,0.69,17.29,102.55
