日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,21.6,22.09,22.23,21.46,111705,51038810.0,3.59,3.13,0.67,1.94
2021-01-05,22.09,21.73,22.23,21.55,102004,46339662.0,3.08,-1.63,-0.36,1.78
2021-01-06,21.64,20.97,21.73,20.88,120782,53089166.0,3.91,-3.5,-0.76,2.1
2021-01-07,21.06,20.92,21.46,20.47,194569,84944108.0,4.72,-0.24,-0.05,3.39
2021-01-08,21.06,22.9,22.9,19.98,193558,86788008.0,13.96,9.46,1.98,3.37
2021-01-18,24.16,22.68,24.16,22.63,320728,155997878.0,6.68,-0.96,-0.22,5.58
2021-01-19,22.68,22.86,23.17,22.41,152452,72959814.0,3.35,0.79,0.18,2.65
2021-01-20,22.9,22.45,22.9,22.14,114906,53737480.0,3.32,-1.79,-0.41,2.0
2021-01-21,22.36,22.68,23.22,21.91,155716,73655656.0,5.84,1.02,0.23,2.71
2021-01-22,22.5,22.05,22.5,21.91,104582,48183653.0,2.6,-2.78,-0.63,1.82
2021-01-25,22.0,21.06,22.0,20.88,118226,52311834.0,5.08,-4.49,-0.99,2.06
2021-01-26,21.15,21.06,21.46,20.92,73073,32152633.0,2.56,0.0,0.0,1.27
2021-01-27,21.15,20.92,21.33,20.79,73709,32201612.0,2.56,-0.66,-0.14,1.28
2021-01-28,20.92,21.1,21.42,20.79,94206,41489322.0,3.01,0.86,0.18,1.64
2021-01-29,21.01,20.65,21.1,20.11,92522,39456579.0,4.69,-2.13,-0.45,1.61
2021-02-01,19.75,19.62,20.47,19.3,128504,52597053.0,5.67,-4.99,-1.03,2.24
2021-02-02,19.62,19.57,19.84,19.35,60823,24612423.0,2.5,-0.25,-0.05,1.06
2021-02-03,19.48,18.9,19.62,18.72,120556,47545976.0,4.6,-3.42,-0.67,2.1
2021-02-04,18.9,18.49,18.9,18.18,87999,33505006.0,3.81,-2.17,-0.41,1.53
2021-02-05,18.63,18.76,19.17,18.36,61203,23582722.0,4.38,1.46,0.27,1.07
2021-02-08,18.81,18.45,18.9,18.27,78633,29972018.0,3.36,-1.65,-0.31,1.37
2021-02-09,18.36,18.31,18.49,17.91,82725,30922947.0,3.14,-0.76,-0.14,1.44
2021-02-10,18.31,18.4,18.81,18.27,61244,23362181.0,2.95,0.49,0.09,1.07
2021-02-18,18.81,18.99,19.17,18.67,86381,33733916.0,2.72,3.21,0.59,1.5
2021-02-19,19.03,19.75,19.8,18.99,87039,35059533.0,4.27,4.0,0.76,1.52
2021-02-22,19.89,20.25,21.28,19.84,161819,68835397.0,7.29,2.53,0.5,2.82
2021-02-23,20.25,20.11,20.61,19.93,82226,34457971.0,3.36,-0.69,-0.14,1.43
2021-02-24,20.16,20.29,20.52,20.02,66906,28135245.0,2.49,0.9,0.18,1.16
2021-02-25,20.34,19.93,20.38,19.8,66137,27365132.0,2.86,-1.77,-0.36,1.15
2021-02-26,19.75,20.11,20.38,19.66,62689,26107200.0,3.61,0.9,0.18,1.09
2021-03-01,20.07,20.38,20.56,20.02,63504,26748679.0,2.69,1.34,0.27,1.11
2021-03-02,20.47,20.29,20.56,20.11,51836,21832934.0,2.21,-0.44,-0.09,0.9
2021-03-03,20.07,20.61,20.83,20.07,69444,29327422.0,3.75,1.58,0.32,1.21
2021-03-04,20.47,20.7,20.97,20.38,59025,25166920.0,2.86,0.44,0.09,1.03
2021-03-05,20.65,20.74,20.79,20.34,75981,32520165.0,2.17,0.19,0.04,1.32
2021-03-08,20.74,20.7,21.1,20.47,90199,38928111.0,3.04,-0.19,-0.04,1.57
2021-03-09,20.7,20.16,20.7,19.75,95877,40026491.0,4.59,-2.61,-0.54,1.67
2021-03-10,20.2,19.71,20.29,19.62,59130,24363135.0,3.32,-2.23,-0.45,1.03
2021-03-11,20.11,20.02,20.56,19.57,106019,43647621.0,5.02,1.57,0.31,1.85
2021-03-12,19.93,19.84,19.98,19.62,61140,25073084.0,1.8,-0.9,-0.18,1.06
2021-03-15,19.84,19.8,20.11,19.57,60389,24780611.0,2.72,-0.2,-0.04,1.05
2021-03-16,19.75,20.52,20.56,19.75,97136,40721112.0,4.09,3.64,0.72,1.69
2021-03-17,20.52,20.61,20.79,20.29,69455,29662436.0,2.44,0.44,0.09,1.21
2021-03-18,20.7,20.34,20.79,20.34,51536,21889361.0,2.18,-1.31,-0.27,0.9
2021-03-19,20.25,20.65,20.7,20.07,64583,27457237.0,3.1,1.52,0.31,1.12
2021-03-22,20.56,22.59,22.59,20.47,147507,65855135.0,10.27,9.39,1.94,2.57
2021-03-23,23.76,24.7,24.7,22.9,258428,130044857.0,7.97,9.34,2.11,4.5
2021-03-24,25.87,25.65,27.04,25.42,1407734,794456208.0,6.56,3.85,0.95,24.5
2021-03-25,23.22,23.8,25.6,23.22,1150702,570226784.0,9.28,-7.21,-1.85,20.03
2021-03-26,23.04,23.31,23.53,22.5,694558,335196112.0,4.33,-2.06,-0.49,12.09
2021-03-29,23.04,23.26,23.71,22.45,516286,248056029.0,5.41,-0.21,-0.05,8.99
2021-03-30,23.04,22.09,23.13,21.82,379669,176551700.0,5.63,-5.03,-1.17,6.61
2021-03-31,22.05,22.18,22.45,21.73,261090,120841721.0,3.26,0.41,0.09,4.54
2021-04-01,21.82,21.91,22.36,21.42,287155,130783262.0,4.24,-1.22,-0.27,5.0
2021-04-02,21.91,22.0,22.27,21.78,203809,93565202.0,2.24,0.41,0.09,3.55
2021-04-06,22.05,22.5,22.68,21.78,256486,119601093.0,4.09,2.27,0.5,4.46
2021-04-07,22.27,22.45,22.54,22.09,226132,105253138.0,2.0,-0.22,-0.05,3.94
2021-04-08,22.36,21.42,22.36,21.37,293087,132888434.0,4.41,-4.59,-1.03,5.1
2021-04-09,21.15,21.46,21.64,21.15,139732,62302776.0,2.29,0.19,0.04,2.43
2021-04-12,21.37,21.64,21.69,21.06,158812,70874041.0,2.94,0.84,0.18,2.76
2021-04-13,21.69,21.46,21.91,21.37,137412,61905907.0,2.5,-0.83,-0.18,2.39
2021-04-14,21.19,20.74,21.37,20.43,228455,98255912.0,4.38,-3.36,-0.72,3.98
2021-04-15,20.79,20.29,20.88,20.29,161148,68761084.0,2.84,-2.17,-0.45,2.81
2021-04-16,20.29,22.18,22.18,20.2,220483,98101885.0,9.76,9.31,1.89,3.84
2021-04-19,22.59,21.96,22.72,21.82,388245,179764152.0,4.06,-0.99,-0.22,6.76
2021-04-20,21.96,21.64,22.32,21.55,231239,105466748.0,3.51,-1.46,-0.32,4.03
2021-04-21,21.6,21.42,21.82,21.19,173150,77314064.0,2.91,-1.02,-0.22,3.01
2021-04-22,21.42,21.51,22.18,21.33,180283,81827711.0,3.97,0.42,0.09,3.14
2021-04-23,21.51,20.83,21.55,20.83,149470,65297581.0,3.35,-3.16,-0.68,2.6
2021-04-26,20.79,20.47,21.06,20.47,107243,46285355.0,2.83,-1.73,-0.36,1.87
2021-04-27,20.43,20.56,20.88,20.34,102445,43873107.0,2.64,0.44,0.09,1.78
2021-04-28,20.52,20.79,20.79,20.29,84421,36085923.0,2.43,1.12,0.23,1.44
2021-04-29,20.88,20.92,21.1,20.61,103695,45005539.0,2.36,0.63,0.13,1.77
2021-04-30,20.97,20.11,20.97,19.84,162870,68258684.0,5.4,-3.87,-0.81,2.79
2021-05-06,20.02,20.02,20.29,19.93,75480,31465383.0,1.79,-0.45,-0.09,1.29
2021-05-07,20.16,20.29,20.79,19.98,100712,42445191.0,4.05,1.35,0.27,1.72
2021-05-10,20.34,20.52,20.79,20.16,95727,40725567.0,3.1,1.13,0.23,1.64
2021-05-11,20.47,20.83,21.55,20.38,141674,61630872.0,5.7,1.51,0.31,2.42
2021-05-12,20.61,21.1,21.15,20.52,102127,44423308.0,3.02,1.3,0.27,1.75
2021-05-13,20.97,21.06,21.46,20.88,126678,55738423.0,2.75,-0.19,-0.04,2.17
2021-05-14,21.06,21.91,22.14,21.01,281244,126625060.0,5.37,4.04,0.85,4.81
2021-05-17,21.91,21.1,21.91,20.97,203070,89715487.0,4.29,-3.7,-0.81,3.47
2021-05-18,21.01,21.51,21.73,20.79,170379,75704775.0,4.45,1.94,0.41,2.91
2021-05-19,21.46,21.37,21.73,21.24,103213,46115863.0,2.28,-0.65,-0.14,1.77
2021-05-20,21.06,20.25,21.15,20.16,224926,95944486.0,4.63,-5.24,-1.12,3.85
2021-05-21,20.29,20.25,20.7,20.16,103636,43855679.0,2.67,0.0,0.0,1.77
2021-05-24,20.2,20.52,20.65,20.16,101622,43143963.0,2.42,1.33,0.27,1.74
2021-05-25,20.47,21.33,21.37,20.38,224234,97723885.0,4.82,3.95,0.81,3.84
2021-05-26,21.33,21.15,21.51,21.06,141124,62354342.0,2.11,-0.84,-0.18,2.41
2021-05-27,21.01,20.97,21.24,20.88,125858,55034662.0,1.7,-0.85,-0.18,2.15
2021-05-28,20.97,20.7,21.15,20.52,114077,49126161.0,3.0,-1.29,-0.27,1.95
2021-05-31,20.79,22.63,22.63,20.79,158800,73466113.0,8.89,9.32,1.93,2.72
2021-06-01,22.63,22.9,24.12,22.05,611248,293200176.0,9.15,1.19,0.27,10.46
2021-06-02,22.9,22.63,23.53,22.41,385500,184742496.0,4.89,-1.18,-0.27,6.59
2021-06-03,22.63,22.36,23.08,22.27,265060,125148549.0,3.58,-1.19,-0.27,4.53
2021-06-04,22.23,22.32,22.59,22.0,174366,80962237.0,2.64,-0.18,-0.04,2.98
2021-06-07,22.45,22.86,23.08,22.05,282354,133581435.0,4.61,2.42,0.54,4.83
2021-06-08,23.62,24.12,25.02,23.17,859691,440210560.0,8.09,5.51,1.26,14.71
2021-06-09,24.34,24.07,25.87,23.98,683179,352592656.0,7.84,-0.21,-0.05,11.69
2021-06-10,23.94,24.43,25.02,23.71,616550,315695824.0,5.44,1.5,0.36,10.55
2021-06-11,24.25,23.89,24.61,23.76,401751,203339427.0,3.48,-2.21,-0.54,6.87
2021-06-15,23.71,24.48,24.88,23.4,412959,209058205.0,6.2,2.47,0.59,7.06
